symbol,date,time,open,high,low,close,volume
TSLA,2026-02-06,09:40:00,404.7,404.89,403.24,403.6914,265306
TSLA,2026-02-06,09:41:00,403.67,403.82,402.54,402.66,270997
TSLA,2026-02-06,09:42:00,402.73,403.39,402.46,402.6854,242156
TSLA,2026-02-06,09:43:00,402.675,404.28,402.1,403.8599,307168
TSLA,2026-02-06,09:44:00,403.85,404.22,403.03,403.55,184816
TSLA,2026-02-06,09:45:00,403.51,405.48,403.51,405.38,308049
TSLA,2026-02-06,09:46:00,405.38,406.6,405.34,406.47,461686
TSLA,2026-02-06,09:47:00,406.5,406.87,405.84,406.66,254841
TSLA,2026-02-06,09:48:00,406.63,408.84,406.63,408.64,636862
TSLA,2026-02-06,09:49:00,408.6,408.67,407.27,408.06,488752
TSLA,2026-02-06,09:50:00,408.12,408.28,407.03,407.84,230463
TSLA,2026-02-06,09:51:00,407.845,408.8,407.17,408.51,284357
TSLA,2026-02-06,09:52:00,408.48,408.78,407.88,408.085,190042
TSLA,2026-02-06,09:53:00,408.09,408.46,407.61,407.7,198146
TSLA,2026-02-06,09:54:00,407.75,408.06,407.28,407.9155,238147
TSLA,2026-02-06,09:55:00,407.8701,408.3899,406.7,407.07,329264
TSLA,2026-02-06,09:56:00,407.105,407.6299,406.3,407.1902,257675
TSLA,2026-02-06,09:57:00,407.26,408.1999,406.64,408.13,269699
TSLA,2026-02-06,09:58:00,408.086,408.679,407.48,408.1416,266268
TSLA,2026-02-06,09:59:00,408.06,408.18,406.7,407.07,180315
TSLA,2026-02-09,09:30:00,409.905,410.9699,408.7767,409.9703,692751
TSLA,2026-02-09,09:31:00,409.9701,411.18,408.36,410.13,522998
TSLA,2026-02-09,09:32:00,410,410.11,407.6227,408.0306,357813
TSLA,2026-02-09,09:33:00,408.25,410.2,407.29,409.58,327398
TSLA,2026-02-09,09:34:00,409.515,410.1,408.5,409.96,243999
TSLA,2026-02-09,09:35:00,409.7801,410.83,409.44,410.53,286043
TSLA,2026-02-09,09:36:00,410.541,410.88,409.42,410.045,366786
TSLA,2026-02-09,09:37:00,410.0695,411.15,409.2,409.9882,298453
TSLA,2026-02-09,09:38:00,409.965,410.4599,409.31,410.08,193143
TSLA,2026-02-09,09:39:00,410.09,410.85,409.6349,410.62,252382
TSLA,2026-02-09,09:40:00,410.705,410.99,409.67,409.8567,231768
TSLA,2026-02-09,09:41:00,409.795,410.68,409.31,409.48,213388
TSLA,2026-02-09,09:42:00,409.51,409.8399,408.72,409.52,246752
TSLA,2026-02-09,09:43:00,409.421,410.02,409.1001,409.7794,187211
TSLA,2026-02-09,09:44:00,409.82,412.6117,409.805,412.3128,482676
TSLA,2026-02-09,09:45:00,412.31,413.403,412.24,413.16,385791
TSLA,2026-02-09,09:46:00,413.1516,413.66,412.6301,413.62,290642
TSLA,2026-02-09,09:47:00,413.5901,413.66,412.25,412.66,254235
TSLA,2026-02-09,09:48:00,412.6,413.15,412.01,412.86,201278
TSLA,2026-02-09,09:49:00,412.87,413.77,412.5,412.6854,225264
TSLA,2026-02-09,09:50:00,412.73,412.7999,411.48,412.2156,234417
TSLA,2026-02-09,09:51:00,412.335,412.47,411.6101,412.2,172344
TSLA,2026-02-09,09:52:00,412.145,412.36,410.85,411.18,234390
TSLA,2026-02-09,09:53:00,411.18,411.29,410.66,411.06,191668
TSLA,2026-02-09,09:54:00,411.01,411.95,410.65,411.77,173828
TSLA,2026-02-09,09:55:00,411.804,412.2999,410.74,410.9,168811
TSLA,2026-02-09,09:56:00,410.88,411.92,410.34,411.85,199044
TSLA,2026-02-09,09:57:00,411.8001,411.9199,410.1977,410.2636,167749
TSLA,2026-02-09,09:58:00,410.25,411.0753,410.08,410.46,141922
TSLA,2026-02-09,09:59:00,410.42,410.69,409.32,409.65,218675
TSLA,2026-02-10,09:30:00,418.08,421.99,417,421.315,825120
TSLA,2026-02-10,09:31:00,421.27,423.87,421.06,422.274,482226
TSLA,2026-02-10,09:32:00,422.33,423.75,421.5,422.8855,318040
TSLA,2026-02-10,09:33:00,422.9,423.5,422,423.44,269782
TSLA,2026-02-10,09:34:00,423.5,423.93,421.6859,422.25,292403
TSLA,2026-02-10,09:35:00,422.295,425.14,422.0113,424.9803,637039
TSLA,2026-02-10,09:36:00,425.03,425.48,424.0811,425.03,368244
TSLA,2026-02-10,09:37:00,425.075,425.4399,423.36,423.56,291859
TSLA,2026-02-10,09:38:00,423.56,423.72,421.7,422.3619,302745
TSLA,2026-02-10,09:39:00,422.4,423.25,421.88,422.68,226899
TSLA,2026-02-10,09:40:00,422.74,423.97,422.12,423.0197,312372
TSLA,2026-02-10,09:41:00,423.0299,423.18,421.8,422.535,217956
TSLA,2026-02-10,09:42:00,422.6099,422.61,421.53,421.6736,238087
TSLA,2026-02-10,09:43:00,421.6999,422.72,421.5507,422.255,228051
TSLA,2026-02-10,09:44:00,422.246,422.91,421.6,422.79,209043
TSLA,2026-02-10,09:45:00,422.75,422.84,421.4,421.96,259629
TSLA,2026-02-10,09:46:00,421.98,423.8,421.8,423.66,304551
TSLA,2026-02-10,09:47:00,423.662,423.84,422.33,422.34,197442
TSLA,2026-02-10,09:48:00,422.4,422.93,421.6,421.685,167634
TSLA,2026-02-10,09:49:00,421.65,421.89,420.888,421.68,270257
TSLA,2026-02-10,09:50:00,421.64,421.95,420.72,421.495,226177
